"","CFSAUID","DGUID","PRUID","PRNAME","LANDAREA","geometry","coord"
"112","B9A","2021A0011B9A","12","Nova Scotia / Nouvelle-Écosse",78.4585,c(8518830.29499997, 1622360.40650644),c(-61.3751320791708, 45.6651329645739)
"113","C0A","2021A0011C0A","11","Prince Edward Island / Île-du-Prince-Édouard",3089.0533,c(8391051.65504125, 1627434.03481701),c(-62.7976282946406, 46.2175212529211)
"114","C0B","2021A0011C0B","11","Prince Edward Island / Île-du-Prince-Édouard",2005.1851,c(8294947.83106327, 1624468.21229722),c(-63.9280821124955, 46.5642955475773)
"115","C1A","2021A0011C1A","11","Prince Edward Island / Île-du-Prince-Édouard",21.5076,c(8365889.6811542, 1620484.6054602),c(-63.1264796146936, 46.2602145498768)
"116","C1B","2021A0011C1B","11","Prince Edward Island / Île-du-Prince-Édouard",233.9523,c(8376989.95558336, 1624669.13518209),c(-62.9750359005483, 46.2504656427739)
"117","C1C","2021A0011C1C","11","Prince Edward Island / Île-du-Prince-Édouard",42.3774,c(8368419.03676874, 1627095.82684035),c(-63.0602231124256, 46.3032706630973)
"118","C1E","2021A0011C1E","11","Prince Edward Island / Île-du-Prince-Édouard",149.1004,c(8356385.42765243, 1627495.21944636),c(-63.1970163124106, 46.3532078375539)
"119","C1N","2021A0011C1N","11","Prince Edward Island / Île-du-Prince-Édouard",140.0025,c(8318160.01229449, 1615175.72421667),c(-63.7086658242145, 46.4012857638297)
"120","E1A","2021A0011E1A","13","New Brunswick / Nouveau-Brunswick",99.0623,c(8263008.07589537, 1552633.79731846),c(-64.6877745580819, 46.1035561022057)
"121","E1B","2021A0011E1B","13","New Brunswick / Nouveau-Brunswick",34.0983,c(8256725.88583111, 1543553.25737312),c(-64.8087699126053, 46.0531705697779)
"122","E1C","2021A0011E1C","13","New Brunswick / Nouveau-Brunswick",12.2776,c(8255185.87108264, 1548033.49176753),c(-64.803070410915, 46.0950841681818)
"123","E1E","2021A0011E1E","13","New Brunswick / Nouveau-Brunswick",34.0378,c(8252261.96409475, 1544517.61210106),c(-64.8556099750881, 46.0773346621105)
"124","E1G","2021A0011E1G","13","New Brunswick / Nouveau-Brunswick",447.7288,c(8240644.03585125, 1550633.2301103),c(-64.9588276631368, 46.1693546221146)
"125","E1H","2021A0011E1H","13","New Brunswick / Nouveau-Brunswick",272.3461,c(8258549.79843363, 1559900.01625549),c(-64.7011646967274, 46.1787625878213)
"126","E1J","2021A0011E1J","13","New Brunswick / Nouveau-Brunswick",169.1107,c(8255958.84161624, 1537954.38696659),c(-64.8471388016901, 46.0106624410293)
"127","E1N","2021A0011E1N","13","New Brunswick / Nouveau-Brunswick",980.726,c(8180455.61126992, 1620751.66218279),c(-65.2988247274063, 46.9581617254586)
"128","E1V","2021A0011E1V","13","New Brunswick / Nouveau-Brunswick",915.9923,c(8154997.24702377, 1629299.10317923),c(-65.5577767744922, 47.1196667437836)
"129","E1W","2021A0011E1W","13","New Brunswick / Nouveau-Brunswick",174.4149,c(8169218.21088883, 1717424.11352326),c(-64.9144190615938, 47.7876484088454)
"130","E1X","2021A0011E1X","13","New Brunswick / Nouveau-Brunswick",451.1272,c(8175569.40003504, 1684748.48391244),c(-65.0152786260431, 47.497797799294)
"131","E2A","2021A0011E2A","13","New Brunswick / Nouveau-Brunswick",1937.2096,c(8127306.49631458, 1667832.14178578),c(-65.6880629696573, 47.5342189299751)
